week_end,window_start,window_end,horizon,signals_total,exec_count,watch_count,watch_clean,watch_over,watch_cov,watch_success,watch_h1,watch_ff,watch_mfe_med,watch_mae_mean,clean_success,clean_mfe_med,clean_mae_mean,over_success,over_mfe_med,over_mae_mean,baseline_cov,baseline_success,baseline_mfe_med,baseline_mae_mean,edge_pp,baseline_files,baseline_picked,baseline_fallback,regime_mode,learn_action,learn_edge_pp,learn_cov_used,edge_mfe_pp,watch_hit_trig_rate,days_to_trig_med,regime_risk_on_succ,regime_risk_off_succ,regime_transition_succ,watch_clean_ff,watch_over_ff
2026-02-12,2026-02-06,2026-02-12,5,40,0,40,13,27,39,0.1794871794871795,0.0769230769230769,0.0512820512820512,0.0059347181008901,-0.0390930011996987,0.4615384615384615,0.0146678170836929,-0.0404044226567778,0.0384615384615384,0.0029093931837074,-0.0384372904711592,0,,,,,712,0,1,TRANSITION,NO_LEARN,,39,,,,,,,,
2026-02-12,2026-02-06,2026-02-12,5,40,0,40,13,27,39,0.1794871794871795,0.0769230769230769,0.0512820512820512,0.0059347181008901,-0.0390930011996987,0.4615384615384615,0.0146678170836929,-0.0404044226567778,0.0384615384615384,0.0029093931837074,-0.0384372904711592,40,0.275,0.0170861987820264,-0.0326821999812626,-9.551282051282053,712,40,0,TRANSITION,TIGHTEN,-9.551282051282053,39,,,,,,,,
2026-02-19,2026-02-13,2026-02-19,5,47,0,47,10,37,44,0.1363636363636363,0.0,0.0454545454545454,0.0210161613316104,-0.0453301013930446,0.3,0.0255179174639169,-0.0364410552840798,0.088235294117647,0.0170536248040974,-0.0479445267192106,47,0.1276595744680851,0.0139103554868624,-0.0376128311622748,0.8704061895551257,712,47,0,TRANSITION,KEEP,0.8704061895551257,44,,,,,,,,
2026-02-26,2026-02-20,2026-02-26,5,62,0,62,14,48,58,0.1206896551724138,0.0344827586206896,0.0689655172413793,0.0135757514821699,-0.0868840297261111,0.1428571428571428,0.0192507683886994,-0.1423922645041137,0.1136363636363636,0.0091402660939085,-0.069222318660383,62,0.1129032258064516,0.0066894654137928,-0.0502775110030398,0.7786429365962189,712,62,0,TRANSITION,KEEP,0.7786429365962189,58,,,,,,,,
2026-02-27,2026-02-23,2026-02-27,5,65,0,65,15,50,63,0.14285714285714285,0.07936507936507936,0.1746031746031746,0.03814166905649574,-0.12139479245826489,0.13333333333333333,0.053946621237932924,-0.16939795956468534,0.14583333333333334,0.028156063039783907,-0.1063938027375085,65,0.18461538461538463,0.03353629976580774,-0.06599227504075841,-4.175824175824178,712,65,0,TRANSITION,KEEP,-4.175824175824178,63,0.46053692906879995,0.14285714285714285,1.0,,,0.14285714285714285,0.2,0.16666666666666666
2026-03-09,2026-03-03,2026-03-09,5,31,0,31,13,18,31,0.2903225806451613,0.03225806451612903,0.16129032258064516,0.05664739884393066,-0.07167450628820345,0.6153846153846154,0.1084745762711865,-0.06922015079098881,0.05555555555555555,0.04854745712596098,-0.0734470963695251,31,0.16129032258064516,0.024376088218224012,-0.06842806862926963,12.903225806451616,712,31,0,TRANSITION,RELAX,12.903225806451616,31,3.227131062570665,0.2903225806451613,3.0,,,0.2903225806451613,0.15384615384615385,0.16666666666666666
