ticker,name,price,market_cap,float_shares,avg_volume_20,avg_dollar_volume_20,breakout_volume,breakout_volume_multiple,breakout_date,breakout_age_sessions,distance_sma150_pct,gain_since_breakout_pct,consolidation_sessions,consolidation_months,pattern,support,resistance,ideal_entry_low,ideal_entry_high,invalidation,confirmation,atr_contraction_ratio,weekly_range_ratio,higher_lows_slope,lower_highs_slope,sma150_slope_pct_20d,sma50_slope_pct,sector_label,sector_etf,sector_etf_slope_pct,soft_flags,close_location_value,volume_dryup_ratio,relative_strength_20d,relative_strength_60d,resistance_break_pct,reward_risk,failed_breakouts,persistence_score,market_regime,setup_state,probability_band,catalysts,technical_score,total_score,market_float_shares
KLTR,Kaltura Inc. Common Stock,1.409999966621399,215097224.0,,236303.0,364331.7263252735,13851900.0,39.66752577319588,2026-08-04,29,0.9715206271747379,0.7142850452539706,84,4.0,Ondulação horizontal em compressão,1.2539999961853028,1.5404999613761903,1.4942849625349046,1.602119959831238,1.2163799962997437,"Fecho acima de $1.540 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.7344784808809126,0.7442777293492016,0.01518662231315988,3.431856994120589e-05,0.22488554860091714,2.325741343447163,Software e Tecnologia,IGV,2.9986249837789414,,0.7419355396921747,1.2252049746660525,-7.8019410056450855,4.249581171279726,-8.471275431789726,2.663077492689654,1,1.0,neutro,BREAKOUT,Moderada,IA/software,58.4,62.4,
TOWN,TowneBank Common Stock,37.58000183105469,2804119261.0,,504820.85,18862610.353665162,2435300.0,4.598358767527313,2026-06-18,60,5.768387823248311,8.268518646737476,105,5.0,Ondulação horizontal em compressão,33.65400009155273,36.209999084472656,35.53046671549479,37.65839904785157,32.64438008880615,"Fecho acima de $36.210 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.7144598116469856,0.6661942130613353,-0.00014297167319103898,-0.0054207260472538725,0.546921094312447,0.5819675675836189,Financeiro,XLF,1.1213132619332766,Assimetria risco/retorno abaixo do ideal (RR 1.6x < 2.0x),0.6987958452063608,0.9812684139869717,6.33392468347801,11.32930365600846,3.7834929058849553,1.5565408829397438,0,1.0,neutro,RETEST,Moderada,"Resultados, contratos ou atualização estratégica da empresa",60.9,61.6,
SBCF,Seacoast Banking Corporation of Florida Common Stock,34.290000915527344,3320053778.0,,766772.35,26345761.61633415,5510100.0,6.818789321796465,2026-06-23,58,6.2566136721113885,8.170347287864633,84,4.0,Triângulo simétrico / VCP,29.727999877929687,32.51699867248535,32.27093329111735,33.817678619384765,28.836159881591794,"Fecho acima de $32.517 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.744678151361891,0.5161036241827454,0.004121472711982856,-0.005284137011347086,0.21468776990078986,0.7783252164708765,Financeiro,XLF,1.1213132619332766,Assimetria risco/retorno abaixo do ideal (RR 1.3x < 2.0x),0.8333337940452069,1.1768567496938556,2.142650541668889,14.247557855800785,5.452539642111076,1.2574624270184607,1,1.0,neutro,RETEST,Moderada,"Resultados, contratos ou atualização estratégica da empresa",61.8,60.2,
MSEX,Middlesex Water Company Common Stock,55.959999084472656,1054507218.0,,117856.35,6847668.016225052,497500.0,3.3166224450340662,2026-06-23,58,2.9893143577210513,5.864544907920455,84,4.0,Triângulo simétrico / VCP,51.1379997253418,54.75399971008301,54.33573321024577,56.94415969848633,49.603859733581544,"Fecho acima de $54.754 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.7482079021878982,0.705976934991404,0.0029727625962607577,-0.0025614640738964157,1.3524671045842984,0.8296170042957574,Água,PHO,0.2423139868041435,Assimetria risco/retorno abaixo do ideal (RR 2.0x < 2.0x),0.9565208377388845,1.1555913939082945,2.671948357044418,11.026647659455612,2.2025776761063875,1.963849416136714,2,1.0,neutro,RETEST,Especulativa,"Resultados, contratos ou atualização estratégica da empresa",50.4,54.1,
TVA,Texas Ventures Acquisition III Corp Class A Ordinary Share,10.555000305175781,0.0,,523602.65,5523659.213989258,106300.0,2.551240819853118,2026-08-06,27,0.5155156607374423,0.23742234414600993,210,10.0,Heartbeat / VCP apertado,10.460000038146973,10.5600004196167,10.500866692860921,10.982400436401367,10.080832025146483,"Fecho acima de $10.560 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.26581798725033,0.27734152373379717,0.0009813198911605228,0.0010561444515421084,-0.15131356563239384,0.04272977734878225,Não classificado,n/d,0.0,Setor não classificado (sem ETF de referência); Fecho fraco no impulso (CLV 0.50 < 0.60),0.5,1.4234610917537747,6.43132086273962,3.963460496282234,-0.04734956668779322,5.578188864049832,0,1.0,neutro,RETEST,Especulativa,"Resultados, contratos ou atualização estratégica da empresa",60.1,51.6,
FSUN,FirstSun Capital Bancorp Common Stock,40.08000183105469,1867085638.0,,269870.85,10846286.665524293,1095400.0,4.321615970331795,2026-07-28,34,6.995845503429732,1.881041371623171,126,6.0,Caixa horizontal comprimida,34.74599990844727,39.34000015258789,38.159800148010255,40.91360015869141,33.70361991119385,"Fecho acima de $39.340 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.6606666868285607,0.757261007906899,-0.0009387130729545356,-0.0005841101878541074,0.34950519779426426,1.0607052700985609,Financeiro,XLF,1.1213132619332766,Assimetria risco/retorno abaixo do ideal (RR 1.3x < 2.0x),0.9570011683825094,0.732307935942356,4.026262819273052,14.284131030580848,3.313616812597564,1.319419725827255,3,0.9832231864552067,neutro,RETEST,Especulativa,"Resultados, contratos ou atualização estratégica da empresa",50.5,49.4,
INMD,InMode Ltd. Ordinary Shares,14.869999885559082,854739080.0,,483384.9,7209390.24636507,3497400.0,4.440105422986883,2026-06-24,57,3.9179456407004043,0.5409055031263987,84,4.0,Ondulação horizontal em compressão,13.378000259399414,14.789999961853027,14.346299962997437,15.381599960327149,12.976660251617432,"Fecho acima de $14.790 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.7420946674873582,0.7260260142691101,0.003897523686959708,-0.00048502439900654804,0.08719847393681146,0.6045156885978731,Biotecnologia,XBI,0.7520454054834813,Fecho fraco no impulso (CLV 0.30 < 0.60); Assimetria risco/retorno abaixo do ideal (RR 1.7x < 2.0x),0.30434825875597704,0.876784389885845,5.223778302345872,14.505447684806471,2.6189579979395416,1.7129123504862338,2,0.9885057419383085,neutro,RETEST,Especulativa,Biotecnologia/FDA e dados clínicos,50.2,44.6,
NVAX,Novavax Inc. Common Stock,9.229999542236328,1522449051.0,,5768286.45,54292143.096502975,11451100.0,3.108437960452523,2026-08-25,14,2.652119970576372,-2.224576774170217,147,7.0,Ondulação horizontal em compressão,7.457999992370605,10.120999908447265,9.817369911193847,10.525839904785157,7.234259992599487,"Fecho acima de $10.121 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.7473107794366539,0.8096516245706588,-0.0023205020302435125,-0.011895984998310027,0.9966902162160673,1.6322962888978054,Biotecnologia,XBI,0.7520454054834813,Assimetria risco/retorno abaixo do ideal (RR 1.7x < 2.0x); 5 falsos breakouts na base (limite 3),0.9375000931322075,1.1625093664041066,20.596674703019037,4.630580096912473,-8.803481615164166,1.7142769676260154,5,0.958686503497429,neutro,BREAKOUT,Especulativa,Biotecnologia/FDA e dados clínicos,52.2,42.1,
HITI,High Tide Inc. Common Shares,2.5399999618530273,223260608.0,,752892.2,1919693.936671114,7643100.0,16.239594089825474,2026-06-16,62,7.195609149024529,0.7936500427734305,210,10.0,Triângulo simétrico / VCP,2.3079999446868897,2.549999952316284,2.4734999537467957,2.6519999504089355,2.238759946346283,"Fecho acima de $2.550 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.7173030255368829,0.7923377054565583,0.002776300413005261,-0.005347033840638729,0.33451908863617597,2.6223316551092335,Consumo Discricionário,XLY,-0.3992269867546083,ETF do setor (XLY) sem SMA50 a curvar para cima; Fecho fraco no impulso (CLV 0.28 < 0.60),0.2777774098480082,1.3799355212634934,15.235327992413527,13.49200715506308,-0.39215649608830283,2.1494487624863083,2,0.0,neutro,RETEST,Especulativa,"Resultados, contratos ou atualização estratégica da empresa",57.7,38.6,
WSBC,WesBanco Inc. Common Stock,40.38999938964844,3873638857.0,,876388.4,35668050.68308411,2800500.0,4.531274775984648,2026-06-04,70,8.98483948188753,16.700371792446965,84,4.0,Ondulação horizontal em compressão,33.08000183105469,36.32599983215332,37.060199915568035,37.779039825439455,32.087601776123044,"Fecho acima de $36.326 com CLV ≥0,60, volume ≥2x, SMA50 a curvar para cima e manutenção acima da SMA150.",0.6328908572069866,0.6100276933186712,-0.0021795261772813938,-0.009957637645289069,1.898838597729413,0.8703084004227035,Financeiro,XLF,1.1213132619332766,Fecho fraco no impulso (CLV 0.26 < 0.60); Assimetria risco/retorno abaixo do ideal (RR 1.0x < 2.0x),0.2641504001842575,0.9543925430143323,1.4405602906406023,14.358658722927565,11.187577977958195,0.9729719358140421,1,0.9936434204905121,neutro,BREAKOUT,Especulativa,"Resultados, contratos ou atualização estratégica da empresa",52.0,37.9,
