date,open,high,low,close,volume
2024-08-19 13:30:00,97.5,109.5,91.0,95.0,41334.0
2024-08-20 13:30:00,94.0,97.5,90.5,94.5,11546.0
2024-08-21 13:30:00,97.5,98.5,92.0,94.5,17344.0
2024-08-22 13:30:00,98.0,98.0,88.5,90.0,15080.0
2024-08-23 13:30:00,92.5,95.5,86.5,94.5,11320.0
2024-08-26 13:30:00,96.0,97.0,89.5,93.5,11264.0
2024-08-27 13:30:00,91.0,92.5,86.5,89.5,8564.0
2024-08-28 13:30:00,88.5,90.4000015258789,85.6500015258789,89.5,7844.0
2024-08-29 13:30:00,90.5,93.25,88.0,91.0,5494.0
2024-08-30 13:30:00,90.0,92.5,86.0,88.5,9146.0
2024-09-03 13:30:00,87.0,97.0,87.0,91.5,22230.0
2024-09-04 13:30:00,89.5,94.0,88.0,89.0,6252.0
2024-09-05 13:30:00,89.0,92.5,88.0,92.5,9452.0
2024-09-06 13:30:00,92.5,94.0,86.0,87.0,9594.0
2024-09-09 13:30:00,87.5,95.75,86.0,91.0,21570.0
2024-09-10 13:30:00,90.5,91.5,86.0,90.5,15264.0
2024-09-11 13:30:00,90.0,91.5,88.25,89.5,5462.0
2024-09-12 13:30:00,91.0,91.0,83.5,86.5,17070.0
2024-09-13 13:30:00,86.0,91.25,83.5,90.5,6426.0
2024-09-16 13:30:00,92.5,92.5,83.0,84.0,15186.0
2024-09-17 13:30:00,84.5,86.0,82.5,84.0,7186.0
2024-09-18 13:30:00,83.5,87.0,82.5,83.0,9172.0
2024-09-19 13:30:00,86.5,89.25,84.5,87.0,8038.0
2024-09-20 13:30:00,86.0,88.5,85.0,86.0,5104.0
2024-09-23 13:30:00,83.0,85.0,81.0,83.0,16500.0
2024-09-24 13:30:00,83.0,87.75,83.0,84.5,6048.0
2024-09-25 13:30:00,84.5,87.0,80.5,80.75,7822.0
2024-09-26 13:30:00,82.5,82.5,79.5,81.5,4900.0
2024-09-27 13:30:00,82.0,82.0,77.5,81.5,24208.0
2024-09-30 13:30:00,82.0,88.0,80.5,88.0,16700.0
2024-10-01 13:30:00,96.75,120.0,84.0,86.5,181794.0
2024-10-02 13:30:00,92.0,114.0,87.0,101.5,154162.0
2024-10-03 13:30:00,104.0,120.0,98.5,117.5,141988.0
2024-10-04 13:30:00,116.5,120.0,105.5,110.0,43744.0
2024-10-07 13:30:00,110.0,116.0,106.0,107.5,24958.0
2024-10-08 13:30:00,107.0,112.25,101.5,102.5,23432.0
2024-10-09 13:30:00,103.0,105.0,97.75,100.0,22386.0
2024-10-10 13:30:00,99.0,99.5,93.0,96.5,18554.0
2024-10-11 13:30:00,96.0,103.5,94.5,103.5,16576.0
2024-10-14 13:30:00,100.5,103.5,97.0,100.5,15944.0
2024-10-15 13:30:00,100.0,103.5,96.9000015258789,97.5,15582.0
2024-10-16 13:30:00,99.5,100.0,92.0,98.0,23280.0
2024-10-17 13:30:00,98.0,99.25,92.0,92.5,15372.0
2024-10-18 13:30:00,92.5,97.0,92.5,97.0,11386.0
2024-10-21 13:30:00,96.0,100.0,93.5,97.5,19196.0
