date,open,high,low,close,volume
2024-08-27 13:30:00,280.0,345.0,242.5,262.5,139891
2024-08-28 13:30:00,272.5,290.0,208.0,213.75,49864
2024-08-29 13:30:00,217.5,247.5,192.5,205.0,34313
2024-08-30 13:30:00,205.75,207.5,172.5,185.75,17166
2024-09-03 13:30:00,177.5,194.0,162.5,181.75,7660
2024-09-04 13:30:00,184.5,205.5,170.0,198.5,11586
2024-09-05 13:30:00,192.5,220.0,177.5,190.0,10291
2024-09-06 13:30:00,190.0,192.5,170.5,177.0,5182
2024-09-09 13:30:00,185.25,185.25,162.5,167.5,3196
2024-09-10 13:30:00,176.5,176.5,149.75,159.0,6740
2024-09-11 13:30:00,159.75,169.25,150.0,158.5,6356
2024-09-12 13:30:00,172.5,177.75,144.75,149.75,7482
2024-09-13 13:30:00,171.75,171.75,132.5,143.0,43828
2024-09-16 13:30:00,130.0,159.75,130.0,145.0,12045
2024-09-17 13:30:00,142.5,150.0,112.25,122.75,19386
2024-09-18 13:30:00,122.75,130.0,117.5,121.25,4988
2024-09-19 13:30:00,117.5,132.0,117.5,120.5,5064
2024-09-20 13:30:00,126.75,127.5,120.25,124.5,5061
2024-09-23 13:30:00,122.75,125.75,119.0,122.25,2665
2024-09-24 13:30:00,117.5,125.0,115.0,123.75,3478
2024-09-25 13:30:00,122.75,150.0,122.5,138.0,11117
2024-09-26 13:30:00,142.5,147.5,128.75,134.0,4734
2024-09-27 13:30:00,117.5,124.75,101.0,107.5,13551
2024-09-30 13:30:00,101.0,120.0,101.0,110.5,5007
2024-10-01 13:30:00,114.75,115.0,103.75,103.75,3031
2024-10-02 13:30:00,100.0,107.5,93.75,97.5,4639
2024-10-03 13:30:00,97.5,107.25,92.5,93.75,4004
2024-10-04 13:30:00,96.75,116.5,95.0,102.5,6000
2024-10-07 13:30:00,103.0,107.5,95.0,98.5,2183
2024-10-08 13:30:00,100.0,105.0,98.75,103.75,2199
2024-10-09 13:30:00,166.75,265.0,150.25,265.0,1949382
2024-10-10 13:30:00,225.0,225.0,152.5,158.5,130086
2024-10-11 13:30:00,145.0,194.5,145.0,170.5,66263
2024-10-14 13:30:00,171.5,176.25,150.25,165.0,16666
2024-10-15 13:30:00,160.75,162.5,146.25,150.5,12774
2024-10-16 13:30:00,147.5,171.25,145.5,160.0,13491
2024-10-17 13:30:00,168.75,171.25,150.0,164.75,9273
2024-10-18 13:30:00,160.25,177.5,160.25,168.5,9478
2024-10-21 13:30:00,162.5,165.0,152.5,155.0,6093
2024-10-22 13:30:00,150.25,157.5,149.0,153.0,3467
2024-10-23 13:30:00,157.25,157.25,150.0,151.0,2605
2024-10-24 13:30:00,148.75,153.0,127.75,132.25,8151
2024-10-25 13:30:00,130.0,135.0,125.0,125.5,4714
2024-10-28 13:30:00,127.25,132.0,115.0,117.5,6990
2024-10-29 13:30:00,118.25,150.0,117.5,139.0,13618
2024-10-30 13:30:00,135.0,137.75,127.5,130.0,4072
2024-10-31 13:30:00,132.5,134.25,122.5,130.0,2650
2024-11-01 13:30:00,125.75,148.5,125.0,141.75,6704
2024-11-04 14:30:00,141.25,146.25,136.5,141.25,2044
2024-11-05 14:30:00,143.25,147.5,133.0,137.75,6016
2024-11-06 14:30:00,142.5,143.0,132.0,142.0,5489
